,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
28,BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,3
29,Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,4
30,Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5
31,Volkswagen,Passat,2008,3.5,Electric,Manual,88381,3,1
32,Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,5,1
33,Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,3,5
34,Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,4
35,Kia,Optima,2005,4.5,Petrol,Manual,18590,2,5
36,Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,4,1
37,Kia,Sportage,2000,1.4,Electric,Manual,167050,5,4
38,Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4
39,Audi,A4,2004,1.0,Petrol,Manual,94415,2,1
40,Ford,Focus,2004,1.2,Electric,Manual,93645,3,3
41,BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1
42,Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4
43,Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3
44,Audi,Q5,2023,3.6,Electric,Manual,238306,5,2
45,Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5
46,Audi,A4,2009,2.4,Diesel,Manual,263797,2,5
47,Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,3
48,Audi,A3,2009,1.2,Electric,Automatic,111448,5,1
49,Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2
50,Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,3,5
51,Mercedes,GLA,2022,3.8,Diesel,Manual,191466,3,2
52,Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,3,1
53,Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,5,1
54,Kia,Optima,2020,3.2,Electric,Manual,88070,3,5
55,BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,3,5
56,Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,2
57,Volkswagen,Passat,2003,2.0,Electric,Manual,287728,3,3
58,Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,3
59,Honda,Civic,2005,2.4,Petrol,Automatic,60316,2,5
60,Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,2
61,Ford,Fiesta,2004,4.0,Diesel,Automatic,85348,3,3
62,Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2
63,Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,5,2
64,Mercedes,GLA,2011,4.0,Diesel,Manual,140263,4,5
65,Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,155550,5,4
66,Volkswagen,Golf,2000,4.0,Hybrid,Manual,237232,4,5
67,Ford,Fiesta,2002,4.0,Hybrid,Semi-Automatic,272351,3,3
68,Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4
69,Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3
70,Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1
71,BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1
72,Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4
73,Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5
74,Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5
75,Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2
76,Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5
77,BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2
78,Hyundai,Sonata,2018,2.0,Hybrid,Automatic,121567,4,4
79,Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5
80,Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2
81,Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5
82,Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,3,2
83,Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4
84,Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4
85,Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1
86,Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5
87,Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1
88,Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5
89,Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5
90,Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1
91,BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4
92,Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4
93,Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5
94,BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2
95,Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3
96,BMW,5 Series,2009,3.0,Electric,Manual,17260,5,5
97,Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,2,5
98,Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,3
99,Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2
100,Ford,Explorer,2013,5.0,Electric,Automatic,188195,5,3
101,Audi,A4,2010,2.0,Hybrid,Manual,228204,3,4
102,BMW,5 Series,2001,2.3,Diesel,Semi-Automatic,66264,2,1
103,Toyota,Camry,2022,4.5,Electric,Semi-Automatic,162696,4,2
104,Chevrolet,Malibu,2005,2.2,Diesel,Manual,191462,2,4
105,Honda,Accord,2001,4.0,Diesel,Manual,8958,5,1
106,Hyundai,Elantra,2012,2.6,Hybrid,Manual,11213,5,5
107,Honda,Accord,2003,3.8,Electric,Semi-Automatic,236022,3,2
108,Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,5,1
109,Mercedes,C-Class,2023,4.6,Electric,Semi-Automatic,274137,2,3
110,Volkswagen,Passat,2010,3.4,Diesel,Manual,8662,4,3
111,BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3
112,Ford,Fiesta,2013,3.5,Hybrid,Semi-Automatic,167809,2,3
113,Honda,CR-V,2018,3.0,Hybrid,Semi-Automatic,180938,4,3
114,Mercedes,C-Class,2018,4.0,Petrol,Manual,66347,3,2
115,Honda,Civic,2007,1.4,Petrol,Manual,279031,5,3
116,Chevrolet,Equinox,2013,2.8,Petrol,Manual,63430,4,5
117,BMW,3 Series,2014,2.1,Petrol,Manual,191744,5,1
118,Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,3,2
119,BMW,X5,2002,4.5,Diesel,Manual,86763,2,5
120,Volkswagen,Golf,2020,3.8,Diesel,Automatic,257521,3,3
121,Toyota,Corolla,2013,4.0,Diesel,Manual,213052,4,4
122,BMW,3 Series,2017,1.9,Petrol,Semi-Automatic,117943,2,4
123,Volkswagen,Tiguan,2008,4.5,Electric,Semi-Automatic,178837,3,4
124,Toyota,Corolla,2002,3.9,Diesel,Semi-Automatic,281616,2,3
125,Chevrolet,Malibu,2013,1.4,Diesel,Automatic,131485,3,5
126,Audi,A4,2013,3.9,Electric,Manual,21399,5,3
127,Mercedes,C-Class,2020,3.7,Petrol,Semi-Automatic,148489,3,5
128,Chevrolet,Equinox,2017,3.1,Electric,Manual,189399,5,4
129,Volkswagen,Tiguan,2008,3.5,Petrol,Semi-Automatic,179107,2,3
130,Volkswagen,Passat,2015,4.7,Diesel,Manual,220366,5,1
131,Kia,Optima,2020,4.7,Petrol,Manual,132200,2,1
132,Chevrolet,Impala,2009,1.8,Diesel,Automatic,151249,4,1
133,Chevrolet,Impala,2009,2.0,Petrol,Manual,184695,5,1
134,Volkswagen,Golf,2001,4.1,Petrol,Automatic,32602,3,4
135,Audi,A3,2013,3.2,Electric,Manual,253611,2,4
136,Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,5,3
137,Mercedes,E-Class,2004,3.0,Hybrid,Manual,232438,3,3
138,Toyota,Camry,2019,4.7,Petrol,Manual,114139,5,4
139,Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,4
140,Honda,Accord,2019,2.2,Diesel,Manual,127801,5,5
141,Toyota,Camry,2002,1.5,Petrol,Automatic,23115,2,1
142,Kia,Optima,2010,3.9,Petrol,Automatic,26930,3,3
143,Toyota,RAV4,2021,2.1,Petrol,Manual,289967,4,3
144,Ford,Focus,2001,3.2,Petrol,Manual,42064,2,3
145,Hyundai,Sonata,2018,3.5,Electric,Manual,233614,4,2
146,Ford,Explorer,2023,4.1,Electric,Automatic,67072,4,3
147,BMW,X5,2017,2.5,Electric,Manual,256380,2,1
148,Mercedes,C-Class,2010,1.9,Petrol,Semi-Automatic,159546,2,4
149,Mercedes,E-Class,2014,3.8,Electric,Semi-Automatic,5877,5,5
150,Hyundai,Tucson,2002,4.9,Hybrid,Automatic,33244,2,2
151,Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,4
152,Honda,Civic,2016,4.0,Diesel,Automatic,175833,3,5
153,Hyundai,Tucson,2005,3.6,Petrol,Semi-Automatic,157073,2,1
154,BMW,3 Series,2015,2.9,Electric,Automatic,131766,2,3
155,Ford,Explorer,2001,2.2,Petrol,Manual,18630,3,5
156,Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5
157,Mercedes,GLA,2013,1.4,Electric,Semi-Automatic,231290,3,3
158,Kia,Optima,2000,3.7,Electric,Manual,166776,2,2
159,Audi,A3,2002,4.0,Diesel,Manual,16302,5,2
160,Audi,Q5,2015,2.9,Hybrid,Semi-Automatic,252824,3,1
161,Kia,Sportage,2007,1.2,Hybrid,Automatic,269614,3,4
162,Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,2,5
163,Honda,CR-V,2014,4.0,Petrol,Manual,287926,5,2
164,Audi,A3,2001,1.8,Petrol,Automatic,43196,5,2
165,Toyota,RAV4,2001,4.5,Diesel,Semi-Automatic,279971,3,1
166,Hyundai,Sonata,2009,1.0,Petrol,Manual,286745,2,5
167,Mercedes,C-Class,2011,2.3,Electric,Semi-Automatic,885,3,2
168,Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,2,4
169,BMW,X5,2004,3.7,Diesel,Semi-Automatic,110947,3,2
170,Honda,CR-V,2018,1.2,Petrol,Manual,166808,5,2
171,Audi,Q5,2022,3.8,Diesel,Automatic,186035,4,3
172,Ford,Fiesta,2005,1.0,Hybrid,Semi-Automatic,68819,2,3
173,Chevrolet,Impala,2018,3.7,Petrol,Semi-Automatic,157181,5,2
174,Mercedes,C-Class,2007,3.9,Petrol,Semi-Automatic,97350,3,3
175,Volkswagen,Passat,2016,3.5,Diesel,Manual,271497,5,4
176,Toyota,RAV4,2013,4.3,Electric,Semi-Automatic,225452,4,5
177,Kia,Optima,2010,3.8,Petrol,Automatic,51040,5,2
178,Volkswagen,Golf,2012,4.2,Electric,Semi-Automatic,7544,2,5
179,Chevrolet,Equinox,2009,2.6,Hybrid,Semi-Automatic,264411,3,1
180,BMW,X5,2012,4.3,Petrol,Manual,153919,5,2
181,Honda,CR-V,2010,1.7,Petrol,Manual,115344,2,5
182,Kia,Rio,2009,2.9,Diesel,Semi-Automatic,106781,3,2
183,Hyundai,Sonata,2011,1.0,Petrol,Manual,279545,2,3
184,Hyundai,Sonata,2020,1.7,Petrol,Manual,11757,3,1
185,Audi,Q5,2014,2.4,Petrol,Semi-Automatic,230787,3,1
186,Hyundai,Elantra,2020,3.7,Hybrid,Automatic,216478,2,1
187,Mercedes,C-Class,2003,2.6,Diesel,Semi-Automatic,134567,5,2
188,Mercedes,C-Class,2006,4.5,Electric,Manual,162852,2,3
189,BMW,3 Series,2023,3.9,Hybrid,Semi-Automatic,112480,2,2
190,Kia,Optima,2017,1.9,Electric,Automatic,60780,2,1
191,Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,4
192,BMW,5 Series,2017,2.1,Diesel,Automatic,199006,3,3
193,Chevrolet,Equinox,2006,2.0,Hybrid,Automatic,11585,5,4
194,Chevrolet,Equinox,2009,2.8,Electric,Manual,79962,3,2
195,Volkswagen,Golf,2014,3.9,Electric,Automatic,95537,4,2
196,Mercedes,GLA,2021,4.3,Diesel,Manual,229873,4,2
197,Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,4,5
198,Chevrolet,Impala,2011,4.0,Hybrid,Automatic,136926,5,1
199,Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1
200,Audi,A4,2017,2.7,Electric,Automatic,172248,3,2
201,Volkswagen,Golf,2017,4.3,Petrol,Automatic,179528,2,5
202,Hyundai,Sonata,2014,2.3,Electric,Manual,1752,4,2
203,Mercedes,GLA,2008,3.2,Electric,Manual,25557,5,4
204,BMW,5 Series,2007,3.9,Hybrid,Automatic,211162,5,5
205,Audi,A3,2014,4.0,Petrol,Automatic,182364,5,5
206,Hyundai,Sonata,2010,1.6,Petrol,Automatic,112946,2,5
207,Ford,Focus,2009,2.1,Petrol,Automatic,122067,4,4
208,Toyota,RAV4,2008,3.5,Electric,Semi-Automatic,296747,3,1
209,BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5
210,Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,3,5
211,Ford,Focus,2009,4.1,Petrol,Automatic,99562,5,2
212,Kia,Optima,2018,1.9,Electric,Manual,107386,5,4
213,Volkswagen,Golf,2021,4.0,Diesel,Automatic,32991,5,3
214,Audi,A3,2017,1.7,Diesel,Manual,156940,4,2
215,Toyota,Camry,2007,2.2,Diesel,Manual,87444,4,4
216,BMW,5 Series,2009,1.4,Petrol,Manual,232049,3,2
217,Ford,Focus,2009,1.2,Hybrid,Automatic,114668,2,4
218,Toyota,Camry,2017,4.8,Electric,Semi-Automatic,297176,4,2
219,Hyundai,Sonata,2011,4.1,Hybrid,Semi-Automatic,138965,4,4
220,Volkswagen,Tiguan,2006,4.4,Petrol,Automatic,251894,2,4
221,Toyota,Corolla,2006,2.8,Diesel,Semi-Automatic,174551,4,5
222,BMW,5 Series,2011,3.0,Petrol,Automatic,260151,5,1
223,Chevrolet,Malibu,2006,2.8,Petrol,Manual,253372,2,4
224,Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,3,5
225,Ford,Fiesta,2014,3.9,Electric,Automatic,267949,3,2
226,BMW,X5,2010,4.6,Diesel,Manual,79663,5,5
227,Toyota,RAV4,2013,3.5,Electric,Automatic,85640,3,4
228,Mercedes,E-Class,2001,4.4,Hybrid,Automatic,1937,4,4
229,Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5
230,Mercedes,E-Class,2007,3.2,Diesel,Semi-Automatic,203452,2,4
231,Hyundai,Elantra,2022,4.2,Electric,Manual,181600,3,3
232,BMW,X5,2002,2.9,Petrol,Manual,296864,4,2
233,Kia,Sportage,2014,1.4,Hybrid,Semi-Automatic,262641,4,1
234,Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3
235,Ford,Focus,2006,4.6,Petrol,Automatic,98002,5,4
236,Kia,Sportage,2000,3.4,Hybrid,Manual,131933,4,1
237,BMW,X5,2001,4.6,Diesel,Manual,287045,4,4
238,Chevrolet,Malibu,2008,2.5,Petrol,Semi-Automatic,215987,5,3
239,Honda,CR-V,2009,2.8,Diesel,Manual,201403,3,5
240,BMW,3 Series,2021,3.9,Petrol,Manual,263073,4,3
241,Audi,A3,2021,4.4,Diesel,Semi-Automatic,91956,2,2
242,Kia,Sportage,2021,1.3,Hybrid,Manual,197902,5,5
243,Toyota,RAV4,2006,1.0,Diesel,Automatic,107474,4,5
244,BMW,5 Series,2011,1.1,Diesel,Automatic,178039,3,1
245,BMW,5 Series,2009,4.0,Electric,Automatic,84645,2,2
246,Kia,Optima,2020,4.1,Hybrid,Semi-Automatic,118504,2,4
247,Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5
248,Toyota,Camry,2002,2.6,Petrol,Automatic,118041,3,4
249,Audi,A4,2020,4.3,Diesel,Semi-Automatic,186962,3,5
250,Mercedes,GLA,2023,1.3,Electric,Semi-Automatic,78961,5,2
251,Mercedes,GLA,2010,1.0,Hybrid,Manual,296156,5,1
252,Toyota,RAV4,2019,2.0,Petrol,Automatic,232074,3,5
253,Ford,Explorer,2001,2.3,Electric,Manual,38542,5,2
254,BMW,X5,2010,2.9,Diesel,Automatic,295058,5,1
255,Toyota,Camry,2013,2.2,Hybrid,Manual,262285,4,4
256,Ford,Explorer,2008,3.9,Electric,Semi-Automatic,225838,5,3
257,Chevrolet,Equinox,2023,3.0,Hybrid,Automatic,230795,5,4
258,Chevrolet,Malibu,2008,2.5,Petrol,Manual,94729,5,3
259,Mercedes,C-Class,2022,3.1,Petrol,Automatic,282199,2,2
260,Audi,A3,2006,2.6,Diesel,Automatic,282423,5,5
261,Mercedes,C-Class,2004,4.0,Diesel,Manual,191859,3,5
262,Ford,Fiesta,2004,2.2,Hybrid,Automatic,256459,4,5
263,Kia,Sportage,2021,2.1,Electric,Semi-Automatic,74107,5,4
264,Volkswagen,Golf,2019,3.9,Petrol,Manual,230974,5,3
265,BMW,5 Series,2016,1.7,Petrol,Manual,56150,3,1
266,Mercedes,C-Class,2010,4.7,Diesel,Semi-Automatic,256100,3,2
267,Volkswagen,Golf,2006,2.7,Hybrid,Automatic,9512,2,1
268,Audi,A3,2011,4.8,Petrol,Automatic,80241,2,3
269,Audi,A4,2021,4.7,Diesel,Semi-Automatic,150713,2,4
270,Audi,Q5,2018,1.7,Electric,Semi-Automatic,207019,2,3
271,Audi,A3,2023,3.2,Petrol,Semi-Automatic,163039,3,3
272,Toyota,Corolla,2000,2.0,Diesel,Manual,145101,3,5
273,Ford,Focus,2016,1.4,Petrol,Semi-Automatic,278559,5,4
274,Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,3,2
275,Kia,Sportage,2010,2.3,Petrol,Manual,62065,2,2
276,Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3
277,Toyota,Camry,2014,1.0,Petrol,Manual,177766,3,2
278,Honda,Civic,2007,1.6,Electric,Manual,158154,3,4
279,Chevrolet,Impala,2021,1.3,Electric,Automatic,52051,5,1
280,Toyota,Camry,2023,1.5,Diesel,Manual,117049,2,5
281,Toyota,Camry,2000,1.8,Electric,Automatic,271405,4,4
282,Hyundai,Sonata,2010,2.6,Hybrid,Semi-Automatic,260006,3,3
283,Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1
284,Kia,Optima,2009,1.6,Electric,Automatic,222076,5,4
285,Volkswagen,Passat,2002,1.8,Petrol,Manual,194835,3,3
286,Ford,Focus,2013,2.0,Diesel,Automatic,145970,2,2
287,Ford,Fiesta,2011,1.4,Hybrid,Automatic,30785,4,3
288,Audi,Q5,2015,3.7,Diesel,Semi-Automatic,57196,3,1
289,Kia,Sportage,2019,4.0,Diesel,Semi-Automatic,50680,3,4
290,Toyota,RAV4,2001,4.7,Diesel,Semi-Automatic,230052,2,3
291,Honda,Civic,2019,4.2,Petrol,Manual,273193,2,4
292,Hyundai,Elantra,2003,4.4,Hybrid,Semi-Automatic,169451,2,2
293,BMW,X5,2020,2.2,Electric,Automatic,286174,4,5
294,Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,5,4
295,Hyundai,Elantra,2014,3.4,Electric,Manual,227371,4,5
296,Kia,Optima,2002,1.7,Diesel,Manual,79442,4,2
297,Toyota,Corolla,2005,3.2,Petrol,Automatic,29885,2,2
298,Volkswagen,Tiguan,2008,4.3,Diesel,Semi-Automatic,261478,4,5
299,Kia,Optima,2010,1.2,Petrol,Automatic,170847,4,4
300,BMW,X5,2001,4.1,Electric,Semi-Automatic,87221,5,4
301,Mercedes,C-Class,2014,2.9,Petrol,Manual,217980,4,4
302,Volkswagen,Passat,2010,4.1,Electric,Automatic,71288,5,2
303,BMW,5 Series,2016,4.5,Diesel,Manual,91092,2,1
304,Honda,Civic,2020,4.4,Petrol,Semi-Automatic,24913,3,3
305,Kia,Sportage,2000,4.2,Hybrid,Semi-Automatic,155444,3,5
306,Mercedes,E-Class,2014,2.5,Electric,Semi-Automatic,171683,3,2
307,Honda,CR-V,2015,4.8,Diesel,Automatic,295428,3,5
308,Volkswagen,Golf,2010,3.9,Petrol,Automatic,207380,2,5
309,Mercedes,C-Class,2012,1.5,Electric,Automatic,89226,5,5
310,BMW,3 Series,2001,4.6,Hybrid,Manual,79217,4,4
311,Mercedes,E-Class,2010,3.3,Diesel,Automatic,297971,2,3
312,Ford,Fiesta,2011,3.5,Diesel,Semi-Automatic,178950,2,3
313,Audi,A3,2017,3.4,Electric,Automatic,148880,3,5
314,Honda,Accord,2013,1.7,Petrol,Semi-Automatic,23936,4,4
315,Audi,Q5,2002,2.1,Electric,Manual,68076,4,1
316,Chevrolet,Malibu,2015,2.9,Diesel,Automatic,144743,2,3
317,Kia,Rio,2014,4.4,Diesel,Semi-Automatic,90279,3,5
318,Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,2,1
319,Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5
320,Mercedes,C-Class,2021,1.9,Petrol,Automatic,200177,2,2
321,Chevrolet,Malibu,2022,3.0,Diesel,Manual,5679,2,4
322,BMW,3 Series,2011,3.3,Hybrid,Manual,14586,4,1
323,Kia,Sportage,2001,3.6,Hybrid,Semi-Automatic,202216,3,3
324,BMW,5 Series,2002,4.8,Petrol,Manual,249673,5,1
325,Chevrolet,Impala,2011,1.7,Diesel,Manual,39156,3,1
326,Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,3,2
327,Ford,Focus,2008,2.4,Petrol,Manual,126868,5,3
328,Mercedes,E-Class,2010,3.0,Electric,Manual,258632,4,5
329,Ford,Fiesta,2021,4.3,Hybrid,Semi-Automatic,201170,3,5
330,Audi,A3,2019,2.9,Hybrid,Manual,13569,2,3
331,BMW,3 Series,2020,2.1,Diesel,Semi-Automatic,191301,3,1
332,Kia,Sportage,2002,4.4,Petrol,Semi-Automatic,169424,3,3
333,BMW,X5,2010,2.9,Petrol,Manual,63026,2,5
334,Chevrolet,Malibu,2001,4.8,Electric,Semi-Automatic,145630,2,1
335,Audi,Q5,2003,3.7,Diesel,Automatic,44024,4,4
336,Audi,Q5,2022,1.2,Electric,Manual,122902,2,3
337,Audi,A3,2012,4.0,Electric,Semi-Automatic,92692,3,2
338,Chevrolet,Equinox,2020,2.9,Petrol,Automatic,22360,2,5
339,Mercedes,E-Class,2018,3.4,Diesel,Manual,53596,5,1
340,Honda,Accord,2000,3.6,Electric,Semi-Automatic,45737,5,1
341,Kia,Sportage,2020,3.0,Hybrid,Automatic,98160,2,5
342,Chevrolet,Impala,2018,4.0,Petrol,Manual,253702,3,4
343,Ford,Explorer,2006,1.5,Hybrid,Semi-Automatic,94715,5,2
344,Volkswagen,Passat,2005,1.4,Diesel,Semi-Automatic,1841,2,2
345,Kia,Optima,2021,1.6,Diesel,Semi-Automatic,109050,2,5
346,BMW,5 Series,2008,4.4,Hybrid,Semi-Automatic,236894,2,1
347,Toyota,Corolla,2016,4.4,Electric,Automatic,256691,4,1
348,Ford,Explorer,2006,1.6,Hybrid,Semi-Automatic,235768,5,2
349,Mercedes,C-Class,2003,4.4,Hybrid,Manual,88089,3,3
350,Honda,CR-V,2007,3.8,Electric,Automatic,160230,4,2
351,Mercedes,E-Class,2000,1.1,Diesel,Manual,233776,2,3
352,Chevrolet,Equinox,2015,1.3,Hybrid,Semi-Automatic,117006,3,5
353,Ford,Fiesta,2005,4.7,Diesel,Semi-Automatic,295379,2,2
354,Chevrolet,Impala,2019,2.5,Hybrid,Manual,299406,3,1
355,Ford,Explorer,2011,1.4,Petrol,Semi-Automatic,182197,4,3
356,Volkswagen,Tiguan,2015,1.4,Electric,Semi-Automatic,235687,2,2
357,Volkswagen,Passat,2005,1.6,Electric,Automatic,293339,5,1
358,Audi,A3,2008,3.5,Diesel,Manual,79861,4,1
359,Mercedes,C-Class,2020,1.9,Petrol,Semi-Automatic,288000,4,5
360,Kia,Rio,2022,1.6,Diesel,Automatic,295898,3,1
361,Toyota,RAV4,2005,2.5,Hybrid,Semi-Automatic,239287,4,1
362,Honda,CR-V,2016,4.4,Petrol,Automatic,7588,4,5
363,Volkswagen,Tiguan,2002,3.4,Diesel,Automatic,152117,3,2
364,Kia,Sportage,2019,4.4,Petrol,Manual,195296,5,4
365,Chevrolet,Impala,2006,4.4,Diesel,Automatic,191716,2,3
366,Honda,CR-V,2000,3.6,Petrol,Manual,230409,2,3
367,Honda,Civic,2014,1.1,Diesel,Automatic,106397,4,2
368,Volkswagen,Passat,2007,3.7,Electric,Manual,295514,2,4
369,Kia,Sportage,2001,3.1,Hybrid,Automatic,232603,4,4
370,Mercedes,E-Class,2000,2.5,Diesel,Manual,18150,3,5
371,Volkswagen,Passat,2000,1.8,Petrol,Automatic,222084,2,3
372,Toyota,Corolla,2016,3.7,Petrol,Manual,59160,5,2
373,Chevrolet,Equinox,2016,2.3,Petrol,Semi-Automatic,73775,3,4
374,Mercedes,E-Class,2007,2.4,Electric,Automatic,89733,3,1
375,Hyundai,Tucson,2002,2.6,Petrol,Semi-Automatic,11401,5,4
376,Chevrolet,Impala,2019,4.4,Diesel,Semi-Automatic,233465,2,1
377,Volkswagen,Golf,2016,4.3,Petrol,Semi-Automatic,240885,3,2
378,Mercedes,GLA,2006,3.5,Electric,Semi-Automatic,25049,4,5
379,Chevrolet,Equinox,2003,2.0,Hybrid,Semi-Automatic,110430,3,1
380,Hyundai,Elantra,2018,3.7,Electric,Semi-Automatic,205909,3,2
381,Ford,Explorer,2011,1.4,Hybrid,Semi-Automatic,161912,4,4
