,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
126,Volkswagen,Golf,2005,3.4,Electric,Semi-Automatic,285877,5,2
127,Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1
128,Ford,Fiesta,2017,2.5,Electric,Automatic,126925,3,3
129,Ford,Fiesta,2011,4.0,Hybrid,Automatic,210158,2,2
130,Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,3,2
131,Ford,Focus,2005,4.6,Hybrid,Automatic,57014,2,3
132,Ford,Fiesta,2013,4.4,Electric,Semi-Automatic,77846,5,2
133,Chevrolet,Impala,2016,4.9,Electric,Manual,110431,5,2
134,Audi,A4,2021,2.7,Petrol,Manual,283597,2,2
135,Hyundai,Tucson,2016,1.2,Petrol,Semi-Automatic,249937,3,1
136,Kia,Optima,2012,3.9,Diesel,Automatic,109956,5,5
137,Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,2,5
138,Hyundai,Sonata,2017,3.0,Diesel,Semi-Automatic,282260,5,2
139,Kia,Sportage,2012,1.7,Diesel,Manual,215694,2,5
140,Volkswagen,Golf,2015,4.4,Hybrid,Automatic,1847,3,4
141,Toyota,RAV4,2000,3.9,Diesel,Semi-Automatic,261380,2,3
142,Toyota,Camry,2008,2.6,Diesel,Semi-Automatic,211463,5,1
143,Honda,Accord,2014,3.6,Hybrid,Manual,69323,5,4
144,Ford,Explorer,2015,3.8,Petrol,Manual,77869,4,1
145,Toyota,RAV4,2001,1.5,Diesel,Automatic,155289,4,2
146,Toyota,Camry,2004,3.7,Petrol,Automatic,74760,3,1
147,Ford,Focus,2006,4.0,Diesel,Automatic,25900,5,2
148,Chevrolet,Impala,2020,5.0,Petrol,Semi-Automatic,3514,2,3
149,Chevrolet,Equinox,2022,1.6,Electric,Automatic,127049,4,1
150,Honda,CR-V,2001,2.0,Petrol,Automatic,116633,5,5
151,Volkswagen,Passat,2017,1.1,Electric,Semi-Automatic,284501,2,5
152,Chevrolet,Impala,2007,2.2,Diesel,Manual,71850,3,2
153,Mercedes,GLA,2004,3.1,Electric,Automatic,220120,2,2
154,Chevrolet,Malibu,2001,2.5,Electric,Manual,297661,3,5
155,Kia,Optima,2022,2.6,Petrol,Manual,282061,3,3
156,Mercedes,C-Class,2004,4.9,Electric,Manual,83044,3,3
157,Audi,Q5,2003,2.3,Electric,Semi-Automatic,293605,4,5
158,Mercedes,E-Class,2007,3.8,Diesel,Manual,133298,4,5
159,Honda,Accord,2020,1.8,Diesel,Automatic,43859,2,3
160,Audi,A4,2010,3.8,Diesel,Automatic,271969,5,4
161,Toyota,RAV4,2001,1.1,Diesel,Automatic,168736,2,3
162,Audi,A3,2023,1.1,Hybrid,Semi-Automatic,184,2,4
163,Audi,A3,2001,2.4,Petrol,Manual,19036,3,3
164,Volkswagen,Passat,2007,4.4,Electric,Manual,234437,2,1
165,Ford,Explorer,2014,1.2,Diesel,Automatic,85335,5,1
166,Hyundai,Elantra,2019,2.5,Diesel,Semi-Automatic,11732,5,3
167,Volkswagen,Tiguan,2013,1.2,Electric,Semi-Automatic,278655,2,5
168,Kia,Rio,2021,1.9,Diesel,Semi-Automatic,206500,3,3
169,Chevrolet,Impala,2019,4.1,Hybrid,Semi-Automatic,9046,4,3
170,Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1
171,Audi,A4,2005,3.3,Hybrid,Automatic,427,4,1
172,Honda,Accord,2011,4.0,Electric,Manual,279343,3,1
173,BMW,5 Series,2021,2.9,Diesel,Automatic,197176,2,3
174,Volkswagen,Tiguan,2015,3.5,Diesel,Manual,164046,5,4
175,Audi,A4,2004,1.6,Petrol,Semi-Automatic,225565,4,3
176,Toyota,Camry,2000,4.4,Hybrid,Manual,57645,3,3
177,Volkswagen,Passat,2005,2.6,Electric,Semi-Automatic,151586,2,4
178,Mercedes,E-Class,2002,4.5,Diesel,Semi-Automatic,145363,5,2
179,Hyundai,Tucson,2015,1.7,Petrol,Semi-Automatic,174677,5,5
180,Ford,Focus,2005,3.8,Hybrid,Automatic,175368,3,2
181,Volkswagen,Golf,2017,2.2,Hybrid,Semi-Automatic,160275,2,2
182,BMW,X5,2023,3.9,Hybrid,Semi-Automatic,70509,4,3
183,Honda,Accord,2011,2.1,Diesel,Manual,96697,5,2
184,Hyundai,Sonata,2014,1.9,Petrol,Semi-Automatic,253678,5,2
185,Ford,Fiesta,2020,3.6,Electric,Manual,86259,3,4
186,Hyundai,Sonata,2001,4.1,Electric,Manual,14935,4,5
187,Ford,Fiesta,2005,4.9,Petrol,Automatic,296548,5,5
188,Chevrolet,Impala,2004,3.6,Hybrid,Semi-Automatic,82916,4,3
189,Volkswagen,Passat,2011,4.3,Diesel,Automatic,124584,2,2
190,Honda,Accord,2020,3.3,Petrol,Automatic,207584,2,2
191,Ford,Fiesta,2006,2.9,Diesel,Semi-Automatic,207765,4,3
192,BMW,X5,2011,1.1,Electric,Manual,29405,3,5
193,Chevrolet,Malibu,2009,4.5,Diesel,Automatic,114528,3,3
194,Toyota,Corolla,2018,4.1,Electric,Automatic,164802,5,1
195,Kia,Sportage,2016,3.6,Diesel,Semi-Automatic,164494,3,2
196,Volkswagen,Tiguan,2011,1.4,Petrol,Semi-Automatic,712,5,2
197,Ford,Fiesta,2023,3.8,Electric,Automatic,216961,5,4
198,Volkswagen,Passat,2016,4.9,Hybrid,Manual,54089,2,5
199,Honda,Accord,2020,3.1,Petrol,Manual,10677,4,1
200,Hyundai,Elantra,2010,2.6,Electric,Semi-Automatic,68985,3,3
201,Chevrolet,Malibu,2003,4.8,Petrol,Semi-Automatic,239684,4,5
202,Mercedes,C-Class,2002,4.0,Electric,Automatic,292289,3,1
203,Volkswagen,Golf,2018,3.6,Electric,Manual,20269,3,4
204,Volkswagen,Tiguan,2014,2.2,Electric,Semi-Automatic,229476,5,3
205,Hyundai,Elantra,2019,1.2,Petrol,Automatic,241090,2,4
206,Audi,A4,2020,3.9,Petrol,Manual,91415,5,3
207,Mercedes,C-Class,2012,4.3,Diesel,Automatic,51674,5,2
208,Kia,Sportage,2000,2.9,Electric,Automatic,77600,2,2
209,Toyota,RAV4,2015,2.1,Petrol,Semi-Automatic,268739,5,4
210,BMW,5 Series,2018,2.7,Hybrid,Manual,297818,2,3
211,Mercedes,GLA,2000,2.5,Diesel,Semi-Automatic,258029,4,3
212,BMW,5 Series,2017,2.7,Electric,Automatic,23058,2,3
213,Toyota,RAV4,2017,4.8,Diesel,Automatic,31166,2,5
214,Hyundai,Tucson,2015,3.2,Hybrid,Semi-Automatic,52021,4,1
215,Honda,CR-V,2010,2.0,Electric,Manual,296296,4,1
216,Kia,Sportage,2006,2.6,Electric,Automatic,239235,4,5
217,BMW,X5,2005,4.7,Hybrid,Manual,45664,2,5
218,Mercedes,GLA,2019,2.6,Electric,Semi-Automatic,21179,4,4
219,BMW,X5,2008,3.9,Hybrid,Automatic,282296,3,1
220,BMW,3 Series,2012,2.7,Electric,Manual,153829,4,4
221,Mercedes,GLA,2005,1.9,Petrol,Automatic,211073,4,5
222,Audi,A4,2016,3.6,Diesel,Automatic,279916,3,3
223,BMW,X5,2021,4.2,Diesel,Semi-Automatic,263328,4,2
224,Honda,Civic,2004,2.8,Hybrid,Manual,168251,5,4
225,BMW,X5,2018,1.6,Electric,Manual,14337,2,1
226,Mercedes,GLA,2003,3.1,Hybrid,Manual,282531,4,4
227,Ford,Focus,2002,1.2,Electric,Automatic,210422,5,3
228,Mercedes,C-Class,2019,1.3,Electric,Manual,61005,5,5
229,Ford,Explorer,2005,2.1,Electric,Automatic,40020,5,2
230,Audi,Q5,2008,1.1,Electric,Semi-Automatic,289703,4,2
231,Chevrolet,Malibu,2016,3.0,Petrol,Automatic,136614,5,1
232,Chevrolet,Malibu,2015,2.8,Electric,Automatic,92699,4,1
233,BMW,3 Series,2016,4.7,Diesel,Automatic,141532,5,1
234,Volkswagen,Tiguan,2016,3.3,Hybrid,Semi-Automatic,246385,4,2
235,Chevrolet,Malibu,2011,4.7,Petrol,Automatic,176791,4,2
236,Toyota,RAV4,2000,3.6,Hybrid,Manual,101716,2,5
237,Chevrolet,Malibu,2005,1.3,Petrol,Semi-Automatic,98813,5,5
238,Honda,Civic,2004,1.0,Petrol,Semi-Automatic,229776,4,3
239,Mercedes,GLA,2008,2.5,Electric,Automatic,137722,4,4
240,Honda,Accord,2023,3.4,Diesel,Semi-Automatic,288644,5,2
241,Ford,Fiesta,2008,1.5,Diesel,Semi-Automatic,53852,5,2
242,Mercedes,E-Class,2000,4.6,Diesel,Semi-Automatic,99538,2,1
243,Mercedes,E-Class,2007,3.6,Petrol,Semi-Automatic,270713,5,2
244,Hyundai,Tucson,2012,4.4,Electric,Manual,124691,5,5
245,Ford,Explorer,2004,1.5,Diesel,Automatic,109854,3,3
246,Ford,Explorer,2007,4.0,Electric,Automatic,98916,3,5
247,Toyota,Camry,2014,1.8,Electric,Manual,142119,4,3
248,Ford,Explorer,2006,1.7,Petrol,Semi-Automatic,179625,3,5
249,Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,3,2
250,Mercedes,C-Class,2022,3.6,Diesel,Manual,233628,5,2
251,Kia,Optima,2013,1.4,Petrol,Semi-Automatic,21187,3,1
252,Hyundai,Sonata,2011,3.1,Diesel,Manual,132448,5,3
253,Audi,A3,2005,2.9,Petrol,Automatic,276720,3,3
254,Kia,Rio,2022,3.7,Diesel,Semi-Automatic,51997,4,2
255,Hyundai,Tucson,2017,1.3,Hybrid,Semi-Automatic,269629,4,5
256,Hyundai,Sonata,2014,3.7,Diesel,Semi-Automatic,284414,5,1
257,Honda,Civic,2008,1.0,Diesel,Manual,254204,3,4
258,Hyundai,Sonata,2021,2.8,Hybrid,Semi-Automatic,99088,2,1
259,Chevrolet,Impala,2010,5.0,Hybrid,Automatic,162415,4,2
260,Ford,Fiesta,2003,2.2,Electric,Automatic,181478,3,2
261,Toyota,Camry,2012,3.8,Electric,Semi-Automatic,9334,2,3
262,BMW,X5,2013,2.9,Diesel,Automatic,216758,5,2
263,Volkswagen,Passat,2023,3.0,Hybrid,Manual,290306,4,4
264,Ford,Focus,2023,2.2,Electric,Semi-Automatic,271751,2,2
265,Ford,Focus,2023,4.1,Hybrid,Automatic,151476,4,4
266,Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,4
267,BMW,X5,2011,3.3,Hybrid,Semi-Automatic,59350,5,1
268,Hyundai,Sonata,2011,2.4,Electric,Semi-Automatic,291467,3,1
269,Ford,Explorer,2005,3.5,Hybrid,Semi-Automatic,101496,2,5
270,Volkswagen,Passat,2017,4.8,Hybrid,Semi-Automatic,187136,5,5
271,BMW,3 Series,2018,2.6,Petrol,Manual,33654,4,3
272,Volkswagen,Passat,2015,1.7,Diesel,Manual,11098,4,2
273,Kia,Optima,2018,1.9,Electric,Manual,107386,5,4
274,Volkswagen,Golf,2002,4.8,Petrol,Semi-Automatic,234282,5,3
275,Audi,A4,2002,2.1,Electric,Manual,249454,2,4
276,Hyundai,Tucson,2014,2.1,Diesel,Manual,200967,3,4
277,Volkswagen,Tiguan,2016,1.8,Electric,Semi-Automatic,171501,4,4
278,Kia,Sportage,2022,2.8,Hybrid,Manual,281596,5,5
279,BMW,5 Series,2001,3.9,Diesel,Semi-Automatic,7812,2,3
280,Volkswagen,Passat,2005,1.7,Hybrid,Automatic,184301,2,4
281,Toyota,RAV4,2023,1.0,Electric,Automatic,131850,3,4
282,Mercedes,C-Class,2004,1.4,Electric,Manual,206740,3,1
283,Toyota,RAV4,2007,4.1,Hybrid,Semi-Automatic,48779,4,3
284,Ford,Focus,2008,2.6,Diesel,Manual,272185,3,4
285,Kia,Optima,2008,1.7,Electric,Semi-Automatic,204474,4,3
286,Ford,Focus,2007,4.4,Petrol,Semi-Automatic,190302,4,1
287,Kia,Rio,2006,2.8,Electric,Manual,134987,5,5
288,Ford,Fiesta,2005,1.0,Hybrid,Semi-Automatic,68819,2,3
289,Mercedes,E-Class,2002,2.6,Petrol,Manual,24516,2,3
290,Audi,A4,2017,1.9,Diesel,Semi-Automatic,152772,2,2
291,Volkswagen,Passat,2007,2.1,Petrol,Manual,257622,5,2
292,BMW,5 Series,2001,4.2,Diesel,Automatic,42277,4,5
293,Chevrolet,Impala,2000,2.6,Electric,Semi-Automatic,190700,2,3
294,Mercedes,C-Class,2011,4.8,Diesel,Manual,192258,4,1
295,Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4
296,BMW,3 Series,2002,2.7,Electric,Manual,142550,2,2
297,Chevrolet,Equinox,2005,3.9,Electric,Manual,236419,2,4
298,Hyundai,Sonata,2009,2.8,Electric,Automatic,155905,2,1
299,Mercedes,E-Class,2009,2.0,Petrol,Semi-Automatic,133496,4,3
300,Honda,Accord,2001,1.5,Petrol,Semi-Automatic,231314,5,1
301,Kia,Sportage,2006,3.2,Electric,Semi-Automatic,33858,3,2
302,Ford,Explorer,2003,3.0,Hybrid,Manual,129742,2,3
303,Mercedes,E-Class,2020,5.0,Petrol,Manual,76117,2,1
304,Ford,Focus,2007,3.6,Hybrid,Manual,243957,2,1
305,Volkswagen,Tiguan,2007,1.2,Diesel,Semi-Automatic,146587,2,1
306,Ford,Explorer,2004,3.6,Electric,Semi-Automatic,223994,2,2
307,Mercedes,C-Class,2021,1.5,Electric,Semi-Automatic,36361,3,2
308,Ford,Focus,2008,3.2,Electric,Automatic,254263,4,5
309,BMW,5 Series,2012,1.5,Electric,Automatic,209765,4,2
310,Audi,Q5,2017,1.5,Electric,Automatic,10943,5,1
311,Volkswagen,Passat,2001,1.2,Electric,Manual,143549,2,1
312,Ford,Explorer,2012,2.1,Electric,Automatic,162395,3,4
313,Mercedes,C-Class,2023,2.6,Hybrid,Automatic,261742,5,4
314,Kia,Sportage,2002,2.1,Diesel,Manual,170511,5,1
315,Chevrolet,Impala,2013,1.9,Hybrid,Semi-Automatic,6384,4,1
316,Audi,A4,2007,2.8,Hybrid,Manual,53161,3,5
317,Mercedes,E-Class,2005,4.3,Hybrid,Manual,244060,2,3
318,Chevrolet,Equinox,2019,4.8,Hybrid,Manual,15204,5,5
319,Toyota,Camry,2015,1.4,Petrol,Automatic,9400,3,5
320,BMW,5 Series,2021,3.7,Diesel,Automatic,298263,3,1
321,Ford,Focus,2001,3.0,Petrol,Automatic,190816,3,5
322,Honda,Civic,2006,3.7,Diesel,Automatic,245945,3,4
323,Honda,Civic,2001,2.7,Electric,Automatic,74508,4,1
324,Audi,Q5,2006,2.2,Petrol,Manual,189950,3,4
325,Toyota,Corolla,2014,2.6,Electric,Semi-Automatic,190357,5,4
326,Honda,CR-V,2012,1.7,Petrol,Automatic,211733,5,3
327,Honda,Accord,2005,2.8,Electric,Manual,228351,2,2
328,Volkswagen,Golf,2012,3.1,Electric,Semi-Automatic,200782,2,1
329,Audi,A4,2004,1.3,Hybrid,Automatic,57078,3,4
330,Volkswagen,Tiguan,2023,1.9,Hybrid,Automatic,254344,5,2
331,Ford,Focus,2013,2.0,Diesel,Automatic,145970,2,2
332,Toyota,Corolla,2006,3.8,Electric,Manual,175532,3,5
333,Mercedes,E-Class,2012,4.9,Hybrid,Semi-Automatic,17044,4,2
334,Toyota,Corolla,2004,2.6,Petrol,Automatic,88330,2,4
335,Volkswagen,Passat,2006,4.9,Hybrid,Semi-Automatic,8618,4,4
336,Honda,Civic,2016,4.0,Diesel,Automatic,175833,3,5
337,Honda,CR-V,2001,1.1,Hybrid,Semi-Automatic,177646,3,4
338,BMW,3 Series,2022,2.2,Hybrid,Manual,148932,2,1
339,Mercedes,C-Class,2000,1.1,Petrol,Semi-Automatic,117793,4,3
340,BMW,5 Series,2002,2.3,Petrol,Semi-Automatic,180395,3,4
341,Kia,Optima,2009,4.3,Diesel,Manual,272444,4,3
342,Audi,A3,2010,4.6,Electric,Automatic,226022,3,3
343,Toyota,Corolla,2001,1.0,Petrol,Manual,134631,3,4
344,Volkswagen,Golf,2023,1.3,Hybrid,Manual,154823,4,1
345,Mercedes,C-Class,2014,3.7,Diesel,Semi-Automatic,32883,5,1
346,Kia,Optima,2022,1.2,Hybrid,Semi-Automatic,216164,5,3
347,Chevrolet,Impala,2015,2.1,Electric,Automatic,247108,2,1
348,Ford,Focus,2001,2.0,Diesel,Semi-Automatic,67832,3,2
349,Honda,Accord,2010,2.5,Hybrid,Manual,213739,4,5
350,Audi,Q5,2004,2.5,Petrol,Automatic,261129,5,3
351,Kia,Rio,2016,2.0,Diesel,Semi-Automatic,234734,4,4
352,Honda,Civic,2001,1.3,Petrol,Semi-Automatic,160858,3,1
353,Mercedes,GLA,2018,1.5,Petrol,Automatic,187038,4,1
354,Mercedes,GLA,2003,3.6,Petrol,Automatic,207893,2,2
355,BMW,5 Series,2020,3.4,Petrol,Manual,29249,2,4
356,Volkswagen,Passat,2002,2.0,Electric,Automatic,49131,4,2
357,BMW,5 Series,2012,3.6,Diesel,Semi-Automatic,90604,4,1
358,BMW,3 Series,2013,2.3,Petrol,Automatic,158475,4,1
359,Mercedes,GLA,2011,4.1,Diesel,Automatic,102940,5,2
360,Honda,Civic,2014,3.9,Hybrid,Manual,76475,5,1
361,Audi,A3,2014,2.1,Electric,Semi-Automatic,215637,5,2
362,Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3
363,Honda,CR-V,2001,2.4,Petrol,Manual,257319,3,1
364,Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,2,1
365,Volkswagen,Golf,2001,1.5,Petrol,Manual,52251,2,1
366,BMW,X5,2003,2.1,Electric,Automatic,159098,4,4
367,Audi,Q5,2012,3.2,Hybrid,Semi-Automatic,184888,3,1
368,Toyota,RAV4,2009,3.9,Electric,Semi-Automatic,110879,4,2
369,Volkswagen,Golf,2021,3.1,Petrol,Semi-Automatic,246099,3,4
370,Kia,Optima,2004,1.0,Electric,Manual,53506,3,4
371,Honda,CR-V,2017,1.3,Petrol,Automatic,257004,5,4
372,BMW,X5,2013,2.6,Electric,Semi-Automatic,147066,2,2
373,Mercedes,C-Class,2000,1.1,Electric,Automatic,220988,2,3
374,Volkswagen,Golf,2004,2.0,Electric,Automatic,207488,3,5
375,Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,5,4
376,Volkswagen,Golf,2014,4.2,Electric,Semi-Automatic,288436,2,1
377,Ford,Explorer,2004,2.3,Hybrid,Manual,289970,5,3
378,BMW,5 Series,2019,3.0,Electric,Semi-Automatic,120036,5,2
379,Honda,CR-V,2014,4.0,Electric,Automatic,175993,2,4
