,Price
701,10663
702,11057
703,9175
704,6726
705,11478
706,4734
707,9896
708,7202
709,12106
710,8369
711,9497
712,7971
713,9490
714,8567
715,10320
716,2740
717,9016
718,10073
719,11396
720,10670
721,10025
722,11147
723,8713
724,11115
725,12863
726,3764
727,8859
728,12587
729,6062
730,9167
731,9508
732,3100
733,7678
734,13165
735,7001
736,6552
737,5613
738,4064
739,8545
740,13591
741,8925
742,10302
743,3022
744,9217
745,12368
746,9871
747,12574
748,13744
749,10693
750,12340
751,12968
752,15367
753,12965
754,7931
755,6000
756,9351
757,7548
758,11231
759,10344
760,6384
761,11104
762,6636
763,13287
764,10559
765,9792
766,6604
767,8018
768,7092
769,8713
770,8609
771,6446
772,9481
773,4060
774,10215
775,10905
776,8898
777,10323
778,2000
779,7434
780,12616
781,7837
782,4454
783,11757
784,8073
785,12044
786,6952
787,8639
788,8843
789,4936
790,8535
791,6738
792,2524
793,11585
794,9658
795,11248
796,6311
797,6704
798,10082
799,5512
800,6012
801,4008
802,9379
803,9617
804,6843
805,7438
806,13901
807,3441
808,6354
809,11567
810,12120
811,7878
812,3039
813,10463
814,12092
815,8223
816,10195
817,14154
818,5745
819,11784
820,10566
821,15181
822,6593
823,11469
824,8987
825,5254
826,8492
827,11718
828,11442
829,11557
830,11022
831,7325
832,15090
833,9507
834,8436
835,11653
836,11114
837,10313
838,9585
839,8716
840,12297
841,4329
842,4385
843,7158
844,14694
845,13313
846,5912
847,7731
848,12485
849,8217
850,9890
851,5430
852,7328
853,5293
854,13124
855,10204
856,14514
857,7019
858,14788
859,3622
860,7997
861,4209
862,13818
863,5640
864,10237
865,8192
866,8039
867,6694
868,6347
869,10093
870,10986
871,12011
872,7555
873,9885
874,8866
875,10422
876,6153
877,14054
878,10106
879,6180
880,8914
881,12642
882,8817
883,13148
884,9943
885,10904
886,7345
887,8145
888,14980
889,10721
890,6568
891,11059
892,8555
893,7982
894,2324
895,6468
896,6130
897,10561
898,10593
899,6080
900,8559
901,5871
902,14441
903,6889
904,15357
905,11216
906,10488
907,11390
908,5651
909,13499
910,8172
911,13245
912,12581
913,6917
914,14570
915,12274
916,9123
917,10917
918,9558
919,13816
920,13123
921,4970
922,8832
923,6414
924,9579
925,9644
926,9877
927,8808
928,8959
929,10023
930,11791
931,5647
932,6255
933,4219
934,7944
935,8263
936,4485
937,8223
938,9807
939,3832
940,7956
941,7682
942,5255
943,4582
944,8589
945,6471
946,7618
947,12821
948,4252
949,15108
950,10531
951,10993
952,7960
953,5061
954,11455
955,12952
956,5265
957,9107
958,7964
959,2000
960,11767
961,9652
962,15194
963,9997
964,16334
965,14164
966,8753
967,15112
968,10396
969,9460
970,15682
971,5714
972,10692
973,5835
974,4980
975,9015
976,5714
977,7189
978,10095
979,13835
980,9661
981,6710
982,9362
983,8893
984,10866
985,4919
986,5440
987,10628
988,7491
989,3389
990,8908
991,12256
992,8439
993,13503
994,10924
995,5654
996,4423
997,10553
998,11816
999,5079
1000,8217
1001,7107
1002,2637
1003,8052
1004,11583
1005,5763
1006,11978
1007,9038
1008,12403
1009,11116
1010,6797
1011,5232
1012,18017
1013,12661
1014,8604
1015,7018
1016,4631
1017,13168
1018,7731
1019,4565
1020,4688
1021,12167
1022,11833
1023,6909
1024,8185
1025,6795
1026,6183
1027,9109
1028,6190
1029,14710
1030,6958
1031,7603
1032,5115
1033,10368
1034,9004
1035,6923
1036,6862
1037,6344
1038,12676
1039,6483
1040,10794
1041,5764
1042,12248
1043,11022
1044,5760
1045,6880
1046,11184
1047,9597
1048,10862
1049,10329
1050,13721
1051,7993
1052,8775
1053,10050
1054,9683
1055,8898
1056,5970
1057,7367
1058,8849
1059,9914
1060,9388
1061,9754
1062,14878
1063,14966
1064,9436
1065,4514
1066,7976
1067,12427
1068,10503
1069,2874
1070,3193
1071,12179
1072,8275
1073,7745
1074,4624
1075,11244
1076,9723
1077,12090
1078,9769
1079,17134
1080,5970
1081,10809
1082,4052
1083,7367
1084,13724
1085,7268
1086,9545
1087,4154
1088,3159
1089,13963
1090,9814
1091,10123
1092,2000
1093,16758
1094,3736
1095,6709
1096,7361
1097,12399
1098,11654
1099,12553
1100,18301
1101,5276
1102,6766
1103,10907
1104,10860
1105,5544
1106,6992
1107,9064
1108,10274
1109,9754
1110,15264
1111,8409
1112,8272
1113,11253
1114,12944
1115,10155
1116,7597
1117,15799
1118,12952
1119,8244
1120,7838
1121,8246
1122,7748
1123,4728
1124,8061
1125,7438
1126,9731
1127,2988
1128,11658
1129,8904
1130,2662
1131,3714
1132,16556
1133,6972
1134,8620
1135,13271
1136,11278
1137,5451
1138,7141
1139,7546
1140,9958
1141,7070
1142,6699
1143,9350
1144,8434
1145,7314
1146,6754
1147,8620
1148,6875
1149,13893
1150,8948
1151,6297
1152,6846
1153,6688
1154,8038
1155,3954
1156,10889
1157,11768
1158,8993
1159,8570
1160,10279
1161,8591
1162,7338
1163,10064
1164,8078
1165,9546
1166,5893
1167,6142
1168,5920
1169,7090
1170,10267
1171,11677
1172,7683
1173,7736
1174,13343
1175,5885
1176,9557
1177,9301
1178,12159
1179,9741
1180,10237
1181,11933
1182,4262
1183,9034
1184,8540
1185,11623
1186,5547
1187,14049
1188,5485
1189,4200
1190,11152
1191,7699
1192,10580
1193,6587
1194,12726
1195,2993
1196,11615
1197,13104
1198,11837
1199,9831
1200,6221
1201,9169
1202,6960
1203,2800
1204,10358
1205,14122
1206,4576
1207,12430
1208,13468
1209,10358
1210,6450
1211,3678
1212,15768
1213,13284
1214,10918
1215,8457
1216,8837
1217,2451
1218,10725
1219,13840
1220,7002
1221,5968
1222,11924
1223,8217
1224,8628
1225,10153
1226,5072
1227,3530
1228,7822
1229,14626
1230,8759
1231,8929
1232,4838
1233,12709
1234,10142
1235,7605
1236,12302
1237,7990
1238,9621
1239,12470
1240,9173
1241,6070
1242,8576
1243,10001
1244,7408
1245,5115
1246,10226
1247,13901
1248,4819
1249,4060
1250,15191
1251,7628
1252,11440
1253,10201
1254,14351
1255,13246
1256,6828
1257,7549
1258,13847
1259,4208
1260,5468
1261,8591
1262,9472
1263,9172
1264,6389
1265,12741
1266,13139
1267,13776
1268,8140
1269,4184
1270,5415
1271,6096
1272,13997
1273,9258
1274,15745
1275,15006
1276,6219
1277,6896
1278,9569
1279,9279
1280,12436
1281,12275
1282,8037
1283,2000
1284,13715
1285,7620
1286,11146
1287,10395
1288,8290
1289,8931
1290,7680
1291,5852
1292,11245
1293,7541
1294,9216
1295,5667
1296,6530
1297,12949
1298,5244
1299,3535
1300,9172
1301,4014
1302,9787
1303,9350
1304,10600
1305,10167
1306,13723
1307,9773
1308,9512
1309,13078
1310,16544
1311,10639
1312,11268
1313,8215
1314,12954
1315,11156
1316,8151
1317,13277
1318,10609
1319,8359
1320,9237
1321,12813
1322,12746
1323,6166
1324,7314
1325,6889
1326,10996
1327,5186
1328,5370
1329,8634
1330,8902
1331,7012
1332,5643
1333,9186
1334,13496
1335,10025
1336,10438
1337,7198
1338,10703
1339,7402
1340,7516
1341,10390
1342,8521
1343,7980
1344,4517
1345,3453
1346,8696
1347,14484
1348,2000
1349,9891
1350,8040
1351,5090
1352,5419
1353,10418
1354,7802
1355,5417
1356,6322
1357,5912
1358,6190
1359,15089
1360,8475
1361,15667
1362,2000
1363,8525
1364,12522
1365,13556
1366,12620
1367,10991
1368,9259
1369,10340
1370,4286
1371,5942
1372,10166
1373,8625
1374,14816
1375,8000
1376,10671
1377,11750
1378,5825
1379,6246
1380,15058
1381,8290
1382,5338
1383,5453
1384,9180
1385,12198
1386,14147
1387,8736
1388,9696
1389,9506
1390,4113
1391,13806
1392,13413
1393,6575
1394,6820
1395,8417
1396,15609
1397,11280
1398,14250
1399,8902
1400,6294
1401,7682
1402,10073
1403,6165
1404,5111
1405,9046
1406,12810
1407,10885
1408,9783
1409,10511
1410,2000
1411,9755
1412,10397
1413,7113
1414,8868
1415,16326
1416,2000
1417,3670
1418,3731
1419,4759
1420,10047
1421,14969
1422,10496
1423,9156
1424,5429
1425,3082
1426,5939
1427,13303
1428,11689
1429,7116
1430,2721
1431,10318
1432,8931
1433,8624
1434,4586
1435,4237
1436,8112
1437,9805
1438,4279
1439,8195
1440,12464
1441,8654
1442,9026
1443,9403
1444,7840
1445,6050
1446,8977
1447,4703
1448,4238
1449,5880
1450,4737
1451,2239
1452,11232
1453,10418
1454,9874
1455,15910
1456,6686
1457,8698
1458,6021
1459,11886
1460,10885
1461,8891
1462,7667
1463,8838
1464,5770
1465,8293
1466,6264
1467,6844
1468,6936
1469,10968
1470,7380
1471,6737
1472,8545
1473,8871
1474,8717
1475,12412
1476,13734
1477,10553
1478,8907
1479,6080
1480,5549
1481,12607
1482,7364
1483,6092
1484,7459
1485,8284
1486,10298
1487,8038
1488,7616
1489,8595
1490,8354
1491,8257
1492,8292
1493,14565
1494,10564
1495,16146
1496,10702
1497,7632
1498,11681
1499,10671
1500,10319
1501,3312
1502,9323
1503,7328
1504,4593
1505,10668
1506,8629
1507,7732
1508,10767
1509,13517
1510,8908
1511,12815
1512,12138
1513,6103
1514,8615
1515,10546
1516,10568
1517,9774
1518,13091
1519,5941
1520,2000
1521,8976
1522,11654
1523,9902
1524,15853
1525,6963
1526,11663
1527,10810
1528,9930
1529,9969
1530,4302
1531,9850
1532,8001
1533,4270
1534,5533
1535,12083
1536,13876
1537,8155
1538,2000
1539,4391
1540,9529
1541,7115
1542,7236
1543,5915
1544,4098
1545,9553
1546,14019
1547,8149
1548,11183
1549,13142
1550,8433
1551,6840
1552,9252
1553,10013
1554,8136
1555,9810
1556,6950
1557,14227
1558,10131
1559,6899
1560,8322
1561,9402
1562,13113
1563,5386
1564,6805
1565,7366
1566,14634
1567,3474
1568,9240
1569,7191
1570,5320
1571,8928
1572,9229
1573,9092
1574,6736
1575,9706
1576,4297
1577,6428
1578,8444
1579,5491
1580,4987
1581,15603
1582,7013
1583,4252
1584,11910
1585,11994
1586,10799
1587,5862
1588,8525
1589,9257
1590,12249
1591,15293
1592,9808
1593,12124
1594,13809
1595,6620
1596,2120
1597,15990
1598,13081
1599,8728
1600,9296
1601,8472
1602,13752
1603,9552
1604,6354
1605,2736
1606,12440
1607,10872
1608,4147
1609,8491
1610,10087
1611,4916
1612,5058
1613,5955
1614,9756
1615,13027
1616,7542
1617,9721
1618,9622
1619,9266
1620,5545
1621,10447
1622,12815
1623,13107
1624,12213
1625,4547
1626,8227
1627,7128
1628,9485
1629,7072
1630,3615
1631,11416
1632,4567
1633,13221
1634,10897
1635,8060
1636,11080
1637,4912
1638,4718
1639,11746
1640,7308
1641,9246
1642,7763
1643,8306
1644,9254
1645,9679
1646,5263
1647,11968
1648,7964
1649,14503
1650,4040
1651,7577
1652,9960
1653,8086
1654,8711
1655,7291
1656,6216
1657,11657
1658,8562
1659,11750
1660,6050
1661,4592
1662,5588
1663,6502
1664,13209
1665,8256
1666,13828
1667,14234
1668,8540
1669,12498
1670,8531
1671,3554
1672,7767
1673,14036
1674,11533
1675,6912
1676,9172
1677,16143
1678,12778
1679,6891
1680,10993
1681,6784
1682,10329
1683,6524
1684,4409
1685,7254
1686,10663
1687,8729
1688,10383
1689,12223
1690,15474
1691,6960
1692,12512
1693,6346
1694,10061
1695,7834
1696,8780
1697,5133
1698,8015
1699,5783
1700,11088
1701,9069
1702,3696
1703,10684
1704,14946
1705,3106
1706,6630
1707,8967
1708,9452
1709,8813
1710,4486
1711,11713
1712,8492
1713,11178
1714,8241
1715,14848
1716,9860
1717,13609
1718,6124
1719,6919
1720,8548
1721,3698
1722,6708
1723,12972
1724,7915
1725,7743
1726,12507
1727,13039
1728,6403
1729,10325
1730,9955
1731,14630
1732,5098
1733,12107
1734,6177
1735,2546
1736,10784
1737,13947
1738,7305
1739,6345
1740,11212
1741,12972
1742,13539
1743,6885
1744,11206
1745,7767
1746,7258
1747,6390
1748,7504
1749,11348
1750,8664
1751,5441
1752,7267
1753,4034
1754,9812
1755,5110
1756,7003
1757,5964
1758,10513
1759,11061
1760,6291
1761,9680
1762,7503
1763,6764
1764,7221
1765,10354
1766,7244
1767,10766
1768,14563
1769,12924
1770,13298
1771,14159
1772,7264
1773,12686
1774,12079
1775,8738
1776,14115
1777,13624
1778,7238
1779,7809
1780,8680
1781,9556
1782,10025
1783,11973
1784,8998
1785,11106
1786,8958
1787,6196
1788,9878
1789,5043
1790,12343
1791,9026
1792,6633
1793,12296
1794,9529
1795,10168
1796,4870
1797,7110
1798,13960
1799,2000
1800,12796
1801,12981
1802,3607
1803,11834
1804,10845
1805,7174
1806,8945
1807,10862
1808,2682
1809,4485
1810,8500
1811,10773
1812,8044
1813,3612
1814,8376
1815,12380
1816,7780
1817,16133
1818,14810
1819,6893
1820,5492
1821,4218
1822,14168
1823,6616
1824,13980
1825,12692
1826,9971
1827,7013
1828,9054
1829,11979
1830,4349
1831,8357
1832,9181
1833,10957
1834,10677
1835,10505
1836,7276
1837,7497
1838,9541
1839,11121
1840,7168
1841,12255
1842,9047
1843,6359
1844,7008
1845,9835
1846,10485
1847,11177
1848,12672
1849,8364
1850,7175
1851,9614
1852,6029
1853,7941
1854,9312
1855,10384
1856,8733
1857,11864
1858,7134
1859,8428
1860,10068
1861,11966
1862,5066
1863,10531
1864,7337
1865,11110
1866,5762
1867,10303
1868,10072
1869,9484
1870,12253
1871,10708
1872,2379
1873,8327
1874,10629
1875,8223
1876,10524
1877,11357
1878,14182
1879,9021
1880,9007
1881,3881
1882,9640
1883,7741
1884,4960
1885,13379
1886,6546
1887,6109
1888,7472
1889,10819
1890,11795
1891,13858
1892,4798
1893,10516
1894,10868
1895,8233
1896,6016
1897,2478
1898,7140
1899,6716
1900,10745
1901,7275
1902,5506
1903,4153
1904,8784
1905,2454
1906,12185
1907,2220
1908,4729
1909,13987
1910,7752
1911,3846
1912,8948
1913,13773
1914,8522
1915,14829
1916,8576
1917,11753
1918,11846
1919,15366
1920,2000
1921,10951
1922,5545
1923,10107
1924,4938
1925,7076
1926,12480
1927,9045
1928,10131
1929,8320
1930,5891
1931,5564
1932,10205
1933,5013
1934,12735
1935,13141
1936,7640
1937,4111
1938,14161
1939,6102
1940,9083
1941,10753
1942,5183
1943,8042
1944,12991
1945,8342
1946,9207
1947,9449
1948,4911
1949,6559
1950,9724
1951,9335
1952,3606
1953,11567
1954,8888
1955,9203
1956,7305
1957,8580
1958,7278
1959,3040
1960,11166
1961,8268
1962,5883
1963,11706
1964,10555
1965,8636
1966,11843
1967,9009
1968,6097
1969,7462
1970,3468
1971,4956
1972,8359
1973,7879
1974,11567
1975,9373
1976,11956
1977,8697
1978,12007
1979,11120
1980,8649
1981,7533
1982,8241
1983,9128
1984,8397
1985,9561
1986,10348
1987,12989
1988,5475
1989,10730
1990,5251
1991,4460
1992,5401
1993,8112
1994,7717
1995,10482
1996,9208
1997,5784
1998,12731
1999,13491
2000,9977
2001,10703
2002,2000
2003,6069
2004,7998
2005,7700
2006,13422
2007,5428
2008,10248
2009,4342
2010,9127
2011,8179
2012,8572
2013,6068
2014,11766
2015,11278
2016,9459
2017,13996
2018,11064
2019,9882
2020,8717
2021,2165
2022,6384
2023,4111
2024,4329
2025,9641
2026,13080
2027,7181
2028,10834
2029,8662
2030,15766
2031,7914
2032,7152
2033,13833
2034,6604
2035,13156
2036,7109
2037,6570
2038,7544
2039,3659
2040,12098
2041,7897
2042,14048
2043,9611
2044,4861
2045,5584
2046,7948
2047,11186
2048,7291
2049,7462
2050,10576
2051,2813
2052,15448
2053,9898
2054,3972
2055,7453
2056,3241
2057,9110
2058,5137
2059,11019
2060,4581
2061,15170
2062,10360
2063,2000
2064,7085
2065,9686
2066,11794
2067,9662
2068,8291
2069,11847
2070,9549
2071,10615
2072,9458
2073,11831
2074,6093
2075,10119
2076,7215
2077,9406
2078,9730
2079,3545
2080,9275
2081,12976
2082,4119
2083,12017
2084,13936
2085,8452
2086,8875
2087,6202
2088,9487
2089,8709
2090,7500
2091,5320
2092,5563
2093,6000
2094,8054
2095,3959
2096,8102
2097,5793
2098,12469
2099,13209
2100,10533
2101,5308
2102,8976
2103,12847
2104,7168
2105,2052
2106,6784
2107,12987
2108,9208
2109,6148
2110,7276
2111,12282
2112,11249
2113,6859
2114,7807
2115,13752
2116,13139
2117,8955
2118,12769
2119,10313
2120,3012
2121,8170
2122,11627
2123,5152
2124,10157
2125,8201
2126,8329
2127,11910
2128,13344
2129,10667
2130,4407
2131,7866
2132,8283
2133,9839
2134,4403
2135,8349
2136,10665
2137,5755
2138,11372
2139,13172
2140,9842
2141,9704
2142,5760
2143,9987
2144,10277
2145,5642
2146,15530
2147,12343
2148,7302
2149,3847
2150,12421
2151,10298
2152,7768
2153,12423
2154,7999
2155,13355
2156,8977
2157,11225
2158,11798
2159,3916
2160,5518
2161,9293
2162,6823
2163,13930
2164,11636
2165,10410
2166,9450
2167,2981
2168,2384
2169,12106
2170,6728
2171,5683
2172,7705
2173,5356
2174,7489
2175,11140
2176,16421
2177,4501
2178,8457
2179,8535
2180,5092
2181,12258
2182,5356
2183,7637
2184,8545
2185,11606
2186,2000
2187,13805
2188,7650
2189,6465
2190,6180
2191,5459
2192,8858
2193,11895
2194,4896
2195,2042
2196,10386
2197,4753
2198,7616
2199,7186
2200,3746
2201,7268
2202,4689
2203,10467
2204,6609
2205,12112
2206,13461
2207,9037
2208,7146
2209,6738
2210,7297
2211,5834
2212,10251
2213,6311
2214,9273
2215,9968
2216,7706
2217,8920
2218,2000
2219,8425
2220,6518
2221,6970
2222,10050
2223,11311
2224,14873
2225,12107
2226,12503
2227,6063
2228,4135
2229,11113
2230,5736
2231,12828
2232,8641
2233,10546
2234,9438
2235,10783
2236,10935
2237,11584
2238,10530
2239,2000
2240,11522
2241,4539
2242,7982
2243,11376
2244,7026
2245,10215
2246,11788
2247,6554
2248,11959
2249,6282
2250,11367
2251,9320
2252,14208
2253,12011
2254,3846
2255,6013
2256,11309
2257,12449
2258,11365
2259,8858
2260,5689
2261,11559
2262,8010
2263,6673
2264,3984
2265,2000
2266,5497
2267,10904
2268,10694
2269,9834
2270,5734
2271,9106
2272,7474
2273,6202
2274,6505
2275,11484
2276,4267
2277,4398
2278,5928
2279,6583
2280,4742
2281,3874
2282,7453
2283,7553
2284,6077
2285,6926
2286,13897
2287,7555
2288,7910
2289,9471
2290,6588
2291,10975
2292,9894
2293,9010
2294,6554
2295,14079
2296,8594
2297,6599
2298,9407
2299,12136
2300,7835
2301,6140
2302,2000
2303,15313
2304,11725
2305,5555
2306,7768
2307,6442
2308,14449
2309,14166
2310,6451
2311,3017
2312,6792
2313,10285
2314,8098
2315,7664
2316,9221
2317,5309
2318,12560
2319,9991
2320,10135
2321,4225
2322,7737
2323,6434
2324,15284
2325,5835
2326,11973
2327,8543
2328,10327
2329,15854
2330,7057
2331,10966
2332,10391
2333,8099
2334,6367
2335,8921
2336,5527
2337,6369
2338,9798
2339,10273
2340,5543
2341,6724
2342,10096
2343,10270
2344,3856
2345,8632
2346,6353
2347,12494
2348,11668
2349,7500
2350,2387
2351,6921
2352,4233
2353,10186
2354,10747
2355,5259
2356,2415
2357,8739
2358,8427
2359,8195
2360,12036
2361,9264
2362,4243
2363,12331
2364,7704
2365,11908
2366,8341
2367,14491
2368,12551
2369,17661
2370,9276
2371,5596
2372,11703
2373,11342
2374,9143
2375,10838
2376,9629
2377,13766
2378,4420
2379,16712
2380,9750
2381,11382
2382,10040
2383,9692
2384,5763
2385,14546
2386,7009
2387,10597
2388,5547
2389,2000
2390,9515
2391,3660
2392,2000
2393,3035
2394,2254
2395,6346
2396,7424
2397,7438
2398,8689
2399,7989
2400,8457
2401,7120
2402,8864
2403,7285
2404,12004
2405,4469
2406,7645
2407,12687
2408,9907
2409,2000
2410,3891
2411,9389
2412,11954
2413,11244
2414,15673
2415,12223
2416,5572
2417,7148
2418,7250
2419,6952
2420,11995
2421,8700
2422,8492
2423,3818
2424,9349
2425,12269
2426,8092
2427,8710
2428,9851
2429,9123
2430,9467
2431,9184
2432,5913
2433,9029
2434,10811
2435,7999
2436,10233
2437,3212
2438,10400
2439,7660
2440,6683
2441,14635
2442,7994
2443,6380
2444,2883
2445,6974
2446,6977
2447,10285
2448,5773
2449,10830
2450,8283
2451,7242
2452,10701
2453,2940
2454,15081
2455,10459
2456,10444
2457,8660
2458,9257
2459,10583
2460,11948
2461,7746
2462,11003
2463,9973
2464,9643
2465,9697
2466,9189
2467,9985
2468,6176
2469,11845
2470,11351
2471,8708
2472,11727
2473,5607
2474,4505
2475,5672
2476,8214
2477,7901
2478,11316
2479,5963
2480,10473
2481,8973
2482,6643
2483,11190
2484,6450
2485,11185
2486,10023
2487,4742
2488,8034
2489,9910
2490,14183
2491,6047
2492,6721
2493,7281
2494,10034
2495,3827
2496,9073
2497,7726
